origen,destino,peso
autor:UC-HeUTT6_g-VoiWds2a4H-w,autor:UCeQk-WfEA-cJRq4EKeE7TOw,1
autor:UC-HeUTT6_g-VoiWds2a4H-w,autor:UCWaRixDdpgllTBf4V0jPnKQ,1
autor:UC-HeUTT6_g-VoiWds2a4H-w,autor:UC3YpzAr7pcdKC7BVFEpYzog,1
autor:UC-HeUTT6_g-VoiWds2a4H-w,autor:UC-Iul5tDYH_oiAMXQH-KaaQ,1
autor:UC-HeUTT6_g-VoiWds2a4H-w,autor:UCjZgFEowMBrsjodqfovzdKw,1
autor:UC-HeUTT6_g-VoiWds2a4H-w,autor:UCRfkkatKrNtAARnXMMYBGlA,1
autor:UC-HeUTT6_g-VoiWds2a4H-w,autor:UC63tFvbQ_hJhGDi2nbjssjw,1
autor:UC-HeUTT6_g-VoiWds2a4H-w,autor:UChyps3dqY-VY1_wLeq-2lhw,1
autor:UC-HeUTT6_g-VoiWds2a4H-w,autor:UC1NiEdJ7gk6FlDexIalWnGg,1
autor:UC-HeUTT6_g-VoiWds2a4H-w,autor:UCp29O_C7cchZV8IxV7Crdag,1
autor:UC-HeUTT6_g-VoiWds2a4H-w,autor:UCV3fr-YOixFKCZBbJP1-X4w,1
autor:UC-HeUTT6_g-VoiWds2a4H-w,autor:UC14qlobYKqD-DO0j6b75lcA,1
autor:UC-HeUTT6_g-VoiWds2a4H-w,autor:UCWvntqPQx99k_Z_skWKqNSA,1
autor:UC-HeUTT6_g-VoiWds2a4H-w,autor:UCa36MjQLoPAmgJo-R3G8WQA,1
autor:UC-HeUTT6_g-VoiWds2a4H-w,autor:UCzZ6dDCEsLMXbc5pCFXIprw,1
autor:UC-HeUTT6_g-VoiWds2a4H-w,autor:UCwxoKK59nGCeBqB2sXfDBIw,1
autor:UC-HeUTT6_g-VoiWds2a4H-w,autor:UCvDwJBBY1mHK70aTEYl6rsA,1
autor:UC-HeUTT6_g-VoiWds2a4H-w,autor:UCiOZX__1gahg1ypIj0_XG_w,1
autor:UC-HeUTT6_g-VoiWds2a4H-w,autor:UC0HvfEWozTHbwl_iEmJNvVA,1
autor:UC-HeUTT6_g-VoiWds2a4H-w,autor:UCFybmWapGvBKcQod7cPPH9w,1
autor:UC-HeUTT6_g-VoiWds2a4H-w,autor:UCoGdCoJg2Lh0OX_jv6cG16g,1
autor:UC-HeUTT6_g-VoiWds2a4H-w,autor:UCaT4saRcyqCLE657Rq2hhZQ,1
autor:UC-HeUTT6_g-VoiWds2a4H-w,autor:UCZFQwqh90apuL8eFhvRBkUg,1
autor:UC-HeUTT6_g-VoiWds2a4H-w,autor:UCfo_yUPzy1f1POwwZxhZ06Q,1
autor:UC-HeUTT6_g-VoiWds2a4H-w,autor:UCtsxPYw8VUsH_FfnKg-0lmw,1
autor:UC-HeUTT6_g-VoiWds2a4H-w,autor:UCEHXl4VvvVpq-_4xC5tsbhg,1
autor:UC-HeUTT6_g-VoiWds2a4H-w,autor:UCgGqw4aqMdMVSGkKiMgrJRQ,1
autor:UC-HeUTT6_g-VoiWds2a4H-w,autor:UCtCtts20bW6F9CSohau51Iw,1
autor:UC-HeUTT6_g-VoiWds2a4H-w,autor:UCheEJ5GZuIvV0fj-nXyVwXw,1
autor:UC-HeUTT6_g-VoiWds2a4H-w,autor:UCql1n3Ey6ULMSOACjMe-fxQ,1
autor:UC-HeUTT6_g-VoiWds2a4H-w,autor:UCyJhqmMbsvjpoarBBStA2kg,1
autor:UC-Iul5tDYH_oiAMXQH-KaaQ,autor:UCeQk-WfEA-cJRq4EKeE7TOw,1
autor:UC-Iul5tDYH_oiAMXQH-KaaQ,autor:UCWaRixDdpgllTBf4V0jPnKQ,1
autor:UC-Iul5tDYH_oiAMXQH-KaaQ,autor:UC3YpzAr7pcdKC7BVFEpYzog,1
autor:UC-Iul5tDYH_oiAMXQH-KaaQ,autor:UCjZgFEowMBrsjodqfovzdKw,1
autor:UC-Iul5tDYH_oiAMXQH-KaaQ,autor:UCRfkkatKrNtAARnXMMYBGlA,1
autor:UC-Iul5tDYH_oiAMXQH-KaaQ,autor:UC63tFvbQ_hJhGDi2nbjssjw,1
autor:UC-Iul5tDYH_oiAMXQH-KaaQ,autor:UChyps3dqY-VY1_wLeq-2lhw,1
autor:UC-Iul5tDYH_oiAMXQH-KaaQ,autor:UC1NiEdJ7gk6FlDexIalWnGg,1
autor:UC-Iul5tDYH_oiAMXQH-KaaQ,autor:UCp29O_C7cchZV8IxV7Crdag,1
autor:UC-Iul5tDYH_oiAMXQH-KaaQ,autor:UCV3fr-YOixFKCZBbJP1-X4w,1
autor:UC-Iul5tDYH_oiAMXQH-KaaQ,autor:UC14qlobYKqD-DO0j6b75lcA,1
autor:UC-Iul5tDYH_oiAMXQH-KaaQ,autor:UCWvntqPQx99k_Z_skWKqNSA,1
autor:UC-Iul5tDYH_oiAMXQH-KaaQ,autor:UCa36MjQLoPAmgJo-R3G8WQA,1
autor:UC-Iul5tDYH_oiAMXQH-KaaQ,autor:UCzZ6dDCEsLMXbc5pCFXIprw,1
autor:UC-Iul5tDYH_oiAMXQH-KaaQ,autor:UCwxoKK59nGCeBqB2sXfDBIw,1
autor:UC-Iul5tDYH_oiAMXQH-KaaQ,autor:UCvDwJBBY1mHK70aTEYl6rsA,1
autor:UC-Iul5tDYH_oiAMXQH-KaaQ,autor:UCiOZX__1gahg1ypIj0_XG_w,1
autor:UC-Iul5tDYH_oiAMXQH-KaaQ,autor:UC0HvfEWozTHbwl_iEmJNvVA,1
autor:UC-Iul5tDYH_oiAMXQH-KaaQ,autor:UCFybmWapGvBKcQod7cPPH9w,1
autor:UC-Iul5tDYH_oiAMXQH-KaaQ,autor:UCoGdCoJg2Lh0OX_jv6cG16g,1
autor:UC-Iul5tDYH_oiAMXQH-KaaQ,autor:UCaT4saRcyqCLE657Rq2hhZQ,1
autor:UC-Iul5tDYH_oiAMXQH-KaaQ,autor:UCZFQwqh90apuL8eFhvRBkUg,1
autor:UC-Iul5tDYH_oiAMXQH-KaaQ,autor:UCfo_yUPzy1f1POwwZxhZ06Q,1
autor:UC-Iul5tDYH_oiAMXQH-KaaQ,autor:UCtsxPYw8VUsH_FfnKg-0lmw,1
autor:UC-Iul5tDYH_oiAMXQH-KaaQ,autor:UCEHXl4VvvVpq-_4xC5tsbhg,1
autor:UC-Iul5tDYH_oiAMXQH-KaaQ,autor:UCgGqw4aqMdMVSGkKiMgrJRQ,1
autor:UC-Iul5tDYH_oiAMXQH-KaaQ,autor:UCtCtts20bW6F9CSohau51Iw,1
autor:UC-Iul5tDYH_oiAMXQH-KaaQ,autor:UCheEJ5GZuIvV0fj-nXyVwXw,1
autor:UC-Iul5tDYH_oiAMXQH-KaaQ,autor:UCql1n3Ey6ULMSOACjMe-fxQ,1
autor:UC-Iul5tDYH_oiAMXQH-KaaQ,autor:UCyJhqmMbsvjpoarBBStA2kg,1
autor:UC-QOpE7GOxlXcHZ8b7HbQKA,autor:UCQMMuADgqWUOcJpLwHOzC-g,1
autor:UC-QOpE7GOxlXcHZ8b7HbQKA,autor:UCp_dAUfv8i3LW3zWc24dLaQ,1
autor:UC-QOpE7GOxlXcHZ8b7HbQKA,autor:UC1WlJfQmaIskYhP4gmWoamw,1
autor:UC-QOpE7GOxlXcHZ8b7HbQKA,autor:UCrqXyRsg-_hTosURZ-uvoKg,1
autor:UC-QOpE7GOxlXcHZ8b7HbQKA,autor:UCxhtlxPV8AYWaNNyU6S9H8Q,1
autor:UC-QOpE7GOxlXcHZ8b7HbQKA,autor:UCGZMgmM92E3njyXNe9-kjAQ,1
autor:UC-QOpE7GOxlXcHZ8b7HbQKA,autor:UCat2qkYvqmtDNEmo2PVuhXw,1
autor:UC-QOpE7GOxlXcHZ8b7HbQKA,autor:UCbNanjFI51cwGqMAb2rOrBw,1
