nodo_id,tipo,etiqueta,grado,fuerza,intermediacion,cercania,articulacion,aumento_componentes,canales
video:n8iP75gIpmw,video,Qué rico come tu diputado,128,161,0.17774828168086595,0.17082450030284677,True,126,
video:PjmxCj-a9Hg,video,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,19,25,0.07667613285590814,0.12097422790963683,True,18,
autor:UCHTGCgY2l-DQJIvlA_cpa_Q,autor,@virgiliogarcia3039,2,3,0.0727661851257357,0.1417955002513826,True,1,2.0
video:j43HgwYFKfk,video,La cooptación de Walter Mazariegos en la USAC,49,50,0.07147487344116558,0.12420636376981796,True,47,
autor:UCpsKOkt5iWTbenzeuq7dsmQ,autor,@inge_vergueta,3,3,0.06852183397127218,0.1489339464882943,True,1,1.0
video:6W4u8sGEnGM,video,Inician los trabajos de recuperación del Puente Belice II.,32,45,0.05895275136848171,0.0887914524084374,True,31,
autor:UCzZ6dDCEsLMXbc5pCFXIprw,autor,@josegil3813,2,2,0.05556241511297691,0.10249470018170805,True,1,1.0
video:ndAZjHqzzT8,video,Internet: escoger el menos malo,10,12,0.04031104663127135,0.11855033627574611,True,8,
video:yLZS3JiEBg8,video,Arroz con pollo a la MONOPOLIO,16,16,0.020005041774704697,0.08166139851365697,True,14,
autor:UCvcu1kR8xMYy_I1Ty-2mV2Q,autor,@hashojea7348,3,4,0.01876003210272873,0.09714049942594719,True,1,1.0
autor:UCjZgFEowMBrsjodqfovzdKw,autor,@franciscoflores3120,2,2,0.018191546281433924,0.07550363644476173,True,1,2.0
video:06mFNPU0aB8,video,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,13,14,0.017193480676626745,0.06560900666873448,True,12,
autor:UCdFlugHJJa4l3YqWuNRmvXw,autor,@MarcosCarillo-b1r,2,2,0.010011524056467876,0.09876196451499941,True,1,2.0
autor:UCsUCN0Yq_UyTvKjOJLmNrnQ,autor,@moisesvaldez4043,2,2,0.010011524056467876,0.12613204382826476,True,1,2.0
video:b_Hkrkl3adA,video,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,7,7,0.008689344363501668,0.09982229235488436,True,6,
video:is3Mk5oC19g,video,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,7,7,0.008689344363501668,0.08186683599419448,True,6,
video:WIUZtitfLRw,video,Caminar en una ciudad hecha para carros,6,6,0.007253981973083097,0.08064948527309122,True,5,
video:lj983NWyAQY,video,Plan 2032 Ciudad de Guatemala,25,25,0.0015434004198049142,0.04006410256410257,True,24,
video:OkXlHx0hx-8,video,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,18,25,0.0007871342141005063,0.028846153846153848,True,17,
video:TT4qJ5FXHYE,video,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",4,4,3.0868008396098287e-05,0.00641025641025641,True,3,
video:JkpVO1hx2f8,video,10 Preguntas a un año del Paro Nacional,3,3,1.5434004198049143e-05,0.004807692307692308,True,2,
video:3Nfp9h5avBI,video,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",2,2,5.144668066016381e-06,0.003205128205128205,True,1,
