nodo_id,tipo,etiqueta,grado,fuerza,intermediacion,cercania,articulacion,aumento_componentes,canales
video:n8iP75gIpmw,video,Qué rico come tu diputado,128,161,0.17774828168086595,0.17082450030284677,True,126,
video:PjmxCj-a9Hg,video,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,19,25,0.07667613285590814,0.12097422790963683,True,18,
autor:UCHTGCgY2l-DQJIvlA_cpa_Q,autor,@virgiliogarcia3039,2,3,0.0727661851257357,0.1417955002513826,True,1,2.0
video:j43HgwYFKfk,video,La cooptación de Walter Mazariegos en la USAC,49,50,0.07147487344116558,0.12420636376981796,True,47,
autor:UCpsKOkt5iWTbenzeuq7dsmQ,autor,@inge_vergueta,3,3,0.06852183397127218,0.1489339464882943,True,1,1.0
video:6W4u8sGEnGM,video,Inician los trabajos de recuperación del Puente Belice II.,32,45,0.05895275136848171,0.0887914524084374,True,31,
autor:UCzZ6dDCEsLMXbc5pCFXIprw,autor,@josegil3813,2,2,0.05556241511297691,0.10249470018170805,True,1,1.0
video:ndAZjHqzzT8,video,Internet: escoger el menos malo,10,12,0.04031104663127135,0.11855033627574611,True,8,
autor:UCylqlpsh8ENNM1LqgQ1KbxA,autor,@Jel.Awesh.M,2,3,0.028012717619459195,0.13906866370808676,False,0,1.0
video:yLZS3JiEBg8,video,Arroz con pollo a la MONOPOLIO,16,16,0.020005041774704697,0.08166139851365697,True,14,
autor:UCvcu1kR8xMYy_I1Ty-2mV2Q,autor,@hashojea7348,3,4,0.01876003210272873,0.09714049942594719,True,1,1.0
autor:UCjZgFEowMBrsjodqfovzdKw,autor,@franciscoflores3120,2,2,0.018191546281433924,0.07550363644476173,True,1,2.0
video:06mFNPU0aB8,video,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,13,14,0.017193480676626745,0.06560900666873448,True,12,
autor:UCbrtvygfRT6QXqWDNrOf-cA,autor,@Alejandro00710,2,2,0.01014785776021731,0.09627830564406008,False,0,1.0
