nodo_id,comunidad
autor:UC6YSZqL0vEcI-niPKIMUGfw,1
autor:UCUIIIPTVDVHAXqhC_5V6lPA,1
autor:UCj-LL25XJnjxepPKCc3NGog,1
autor:UCtUR3_CAiE7fCoZHM6cMfyQ,1
autor:UCNBnKqWf4d-rS4HwJRQljmQ,1
autor:UCErZPJpHmLCsXs8ZWkAUupQ,1
autor:UCQ_-LPP8JAbfkc-b1Q6NvWw,1
autor:UC8G5cJONY8L9voMyBW8Eoug,1
autor:UCRelkU8JiZBytTzebJxaa-w,1
autor:UC5H8ASmMC9WrURmzeB4ySog,1
autor:UCAmtbUiIrUIhikru0ZoTFig,1
autor:UCr1emrogPKkKTs_WTtx71xg,1
autor:UCOh6DaZC_x9HASnlRylEMfw,1
autor:UCSou6a2OuYGSvPjm5psquyA,1
autor:UCzoL2l5H5eVlorWGH8AZfAg,1
autor:UCV0iizTBoOfdAFX_thfI9BA,1
autor:UCOLGv5Pf6BF2wFcwUzgcvHg,1
autor:UCsjs5Hp_r86x1xbK6FAeqaA,1
autor:UC4wq3DcbfaG6dtCqn8Oyu3w,1
autor:UCwha8rxULYMVtNwZWeSkE1A,1
autor:UCl0ekS9Tt0jJGtOEM18S63w,1
autor:UCFxE8GbokBrBsPEKM1xrOjQ,1
autor:UCXSkL3ejZ8qWYyF_M7s_QKA,1
autor:UCwW2OFy95P7ZBkOPxWkpvYg,1
autor:UC3MYTqpQqlWBuCB7Th0e0PA,1
autor:UCA93ym2TXs_Ibyxb4Vcn-6Q,1
autor:UCFUuDARXdmmIrLppEqf-rFg,1
autor:UCpl8rF8uv_8uui-QRvuJaRA,1
autor:UC-pNP6RMFuLg_-x7Ah_0kEA,1
autor:UCZ51R_9Q9C0c8I3pAWhtmjQ,1
autor:UCRETAiYdh2dL5ZxB0_N1zDA,1
autor:UCsJJAvrVGupdmhOqgtDp8dg,1
autor:UCL13XhnRzbGokEkCkEOb0-g,1
autor:UCTP3O0rMnc8z8v8jaDQwL0w,1
autor:UCp4iw5_5SmV9VGTFSNVGOmQ,1
autor:UCDUffaruH6dyUnUGwsTKpgg,1
autor:UCut6b9S98nv84cVX89PmKzA,1
autor:UCN6qbfPSzFtjhqUDZ3Cv3CQ,1
autor:UCvApqeCbLod-wejtT4CcVuA,1
autor:UCsUCN0Yq_UyTvKjOJLmNrnQ,1
autor:UCDIMztpVm7G27qBuiWuT6oQ,1
autor:UCZLG9qH0tUjNhEGFIUt0CYw,1
autor:UCDPWkUX3sNNaCx-m1dV4glA,1
autor:UChs3tU2BcKOT0CezykvAsGw,1
autor:UCYN4wSQ1Sx4_LurxLlW7MPg,1
autor:UCrJn_rbo_ENAdeqneS-RmRw,1
autor:UC-hfX8J5JPJ-dfuakzegMLA,1
autor:UCueV9cTyTDwgQSec1x2dYgA,1
