comunidad,channel_id,channel_name,comentarios
1,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,1
1,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,159
1,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,1
2,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,69
2,UCVpSRoZgngfSL03Nlbjtq9A,Noti7,14
3,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,53
3,UCt5Dw7ePnn0AqPqRF8Xpjkw,TN23 Guatemala,7
4,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,33
5,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,25
6,UCRwA1NUcUnwsly35ikGhp0A,Noticias Telemundo,25
7,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,6
8,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,4
9,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,3
10,UCdSVqHGHzyMTXSafUHY-e-w,Noticiero Guatevisión 13 Hrs.,2
11,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,1
12,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,1
13,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,1
14,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,1
