comunidad,autores,videos,canales,comentarios,palabras,positivo,negativo,neutral
1,126,3,3,161,"pueblo, dinero, diputados, trabajo, diputado, sueldo, tienen, todos",23,16,122
2,61,3,2,83,"presidente, guatemala, país, años, arevalo, bernardo, salvador, puente",20,9,54
3,55,4,2,60,"usac, corruptos, universidad, estudiantes, información, excelente, pueblo, pacto",10,6,44
4,28,3,1,33,"excelente, empresas, solo, internet, ley, está, país, competencia",13,3,17
5,25,1,1,25,"guatemala, ciudad, saludos, todos, viva, proyectos, tiempo, dios",5,0,20
6,18,1,1,25,"you, usa, pais, otros, país, if, to, ver",4,2,19
7,6,1,1,6,"asquerosos, gasolina, subira, guerra, países, guatemala, galón, país",1,0,5
8,4,1,1,4,"iniciativa, juego, excelente, ve, deporte, dinamico, entretenido, trasfondo",2,0,2
9,3,1,1,3,"guatemala, solo, cambia, dictadura, años, vi, semilla, bernardo",0,1,2
10,2,1,1,2,"persona, encargada, ecosistema, ayude, problema, recuerdos, dejando, semiya",0,1,1
11,1,1,1,1,wooow,0,0,1
12,1,1,1,1,"dice, subscribe, boletín, informativo, intenté, pagina, web, teléfonos",0,0,1
13,1,1,1,1,,0,0,1
14,1,1,1,1,"gracias, video, importante, conocer, tipo, espacios",1,0,0
