comunidad,video_id,comentarios,title,channel_name
1,PjmxCj-a9Hg,1,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala
1,b_Hkrkl3adA,1,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial
1,n8iP75gIpmw,159,Qué rico come tu diputado,Quorum
2,06mFNPU0aB8,14,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7
2,6W4u8sGEnGM,45,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala
2,PjmxCj-a9Hg,24,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala
3,is3Mk5oC19g,7,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,TN23 Guatemala
3,j43HgwYFKfk,50,La cooptación de Walter Mazariegos en la USAC,Quorum
3,n8iP75gIpmw,2,Qué rico come tu diputado,Quorum
3,ndAZjHqzzT8,1,Internet: escoger el menos malo,Quorum
4,WIUZtitfLRw,6,Caminar en una ciudad hecha para carros,Quorum
4,ndAZjHqzzT8,11,Internet: escoger el menos malo,Quorum
4,yLZS3JiEBg8,16,Arroz con pollo a la MONOPOLIO,Quorum
5,lj983NWyAQY,25,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala
6,OkXlHx0hx-8,25,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo
7,b_Hkrkl3adA,6,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial
8,TT4qJ5FXHYE,4,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",Quorum
9,JkpVO1hx2f8,3,10 Preguntas a un año del Paro Nacional,Quorum
10,3Nfp9h5avBI,2,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",Noticiero Guatevisión 13 Hrs.
11,s0eco-BofOs,1,¿Quiénes pagan más en Centroamérica?,Quorum
12,X_FAIef8qlE,1,Cruzando la ciudad a puro Transmetro,Quorum
13,zweosulrwA8,1,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,Quorum
14,UhL9y3KUl8E,1,SHAI WA: la vecina queer de Casa Presidencial,Quorum
