nodo_id,etiqueta,grado,estado
video:-5puKGEqcUc,INSIVUMEH pronostica incremento de lluvias para el fin de semana en Guatemala,0,aislado observado
video:-E7OPOLjMug,BERNARDO ARÉVALO CALIFICA CAMBIO EN EL MP COMO EL FIN DE UNA ETAPA DE DETERIORO INSTITUCIONAL,0,aislado observado
video:-KDglrIzRKo,¡HISTÓRICO! Mexico recupera petróleo robado por Guatemala... 🔔,0,aislado observado
video:-O4Pa7qS9WQ,"Viaje completo Ciudad de Guatemala al IRTRA de Retalhuleu, menos tráfico, Diesel a Q42.59",0,aislado observado
video:06mFNPU0aB8,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,1,hoja
video:0LTLUY7LBlA,"Qué debes saber ANTES de viajar a GUATEMALA | Dónde cambiar DINERO, adquirir INTERNET y TRANSPORTE",0,aislado observado
video:0a4_g1R1-aA,Acciones relevantes en el #Resumen24Horas,0,aislado observado
video:0b2vfzXdCqs,Cadena Nacional del presidente Bernardo Arévalo,0,aislado observado
video:0eiVPMexNOo,CONRED se pronuncia tras sismos en el territorio nacional,0,aislado observado
video:0iQD8zHxZIg,SE FILTRO un AUDIO de PANDILLEROS en Guatemala | DISPUTA POLITICA  Guatemala en medio de EMERGENCIA,0,aislado observado
video:1-hr8eCOt_I,Este es el impacto ante el incremento del tráfico en la capital por el inicio de clases,0,aislado observado
video:1HQLJycvzaQ,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,0,aislado observado
video:1kSG-naIgqk,PRIMERA SEDE MIGRATORIA REGIONAL EN CHIQUIMULA,0,aislado observado
video:1w9faaYjhyU,Fundación de la República de Guatemala 21 marzo 1847,0,aislado observado
video:1y61Kb9uSbg,Departamento de Tránsito de PNC certifica a 43 PMT en Educación Vial,0,aislado observado
video:1yHN9Ci7pXs,Municipalidad de Guatemala informa,0,aislado observado
video:2iqOSL9YguA,Gabriel García Luna ya está en el MP para asumir como nuevo fiscal general,0,aislado observado
video:2n31FhKmELI,TRÁFICO EN GUATEMALA,0,aislado observado
video:2p23yPpu6aQ,#Conred,0,aislado observado
video:3-jKER3zqcA,VECINO VRS AGENTES DE LA PMT EN MAZATENANGO,0,aislado observado
video:3LAwISMokIg,MUNICIPALIDAD DE GUATEMALA 17/12/2025,0,aislado observado
video:3Nfp9h5avBI,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",0,aislado observado
video:3P2OUk7aGmc,Presidente presenta Segundo Informe Presidencial en Sesión Solemne del Congreso de la República.,0,aislado observado
video:3S3KygWSjAQ,Himno de la Policía Nacional Civil de Guatemala,0,aislado observado
video:3bU7I_ZpXUk,Congreso inicia proceso para nombrar a nuevo Fiscal General en Guatemala y suceder a Consuelo Porras,0,aislado observado
video:3onMfRym3OU,PRIMER PUENTE DONDE ARRIBA VA EL TRÁFICO Y ABAJO UN TREN EN GUATEMALA Y AMÉRICA LATINA.,0,aislado observado
video:45xQLtMlPdo,"PRESIDENTE DE GUATEMALA, BERNARDO ARÉVALO SE REFIERE AL “DÍA INTERNACIONAL DE LA LIBERTAD DE PRENSA”",0,aislado observado
video:4DD1nlxWk2s,Fuertes LLUVIAS en el JABALI; a si luce una Tarde de Tormenta 😱,0,aislado observado
video:4FUed7cIhPU,El Sistema CONRED y el Gobierno de Guatemala trabajan unidos para atender emergencias.,0,aislado observado
video:4H6w9FQAcS8,"Avances en temas de economía, precios de los combustibles y otros temas de interés nacional.",0,aislado observado
video:5DRG-WGTq1k,El Sistema CONRED continúa activo y trabajando de manera coordinada #VolcánDeFuego.,0,aislado observado
video:5MFnG5B7ric,Municipalidad de Guatemala   09/07/2025,0,aislado observado
video:5OhxjDvuYbQ,"Operativos PMT ""Cero Tolerancia"" para fin de año",0,aislado observado
