comunidad,positivo,negativo,neutral,n,porcentaje_positivo,porcentaje_negativo,porcentaje_neutral,comparacion_descriptiva
1,23,16,122,161,14.285714285714286,9.937888198757763,75.77639751552795,True
2,20,9,54,83,24.096385542168676,10.843373493975903,65.06024096385542,True
3,10,6,44,60,16.666666666666668,10.0,73.33333333333333,True
4,13,3,17,33,39.39393939393939,9.090909090909092,51.515151515151516,True
5,5,0,20,25,20.0,0.0,80.0,True
6,4,2,19,25,16.0,8.0,76.0,True
7,1,0,5,6,16.666666666666668,0.0,83.33333333333333,False
8,2,0,2,4,50.0,0.0,50.0,False
9,0,1,2,3,0.0,33.333333333333336,66.66666666666667,False
10,0,1,1,2,0.0,50.0,50.0,False
11,0,0,1,1,0.0,0.0,100.0,False
12,0,0,1,1,0.0,0.0,100.0,False
13,0,0,1,1,0.0,0.0,100.0,False
14,1,0,0,1,100.0,0.0,0.0,False
