video_id,positivo,negativo,neutral,n,porcentaje_positivo,porcentaje_negativo,porcentaje_neutral,comparacion_descriptiva
06mFNPU0aB8,2,0,12,14,14.285714285714286,0.0,85.71428571428571,True
3Nfp9h5avBI,0,1,1,2,0.0,50.0,50.0,False
6W4u8sGEnGM,13,7,25,45,28.88888888888889,15.555555555555555,55.55555555555556,True
JkpVO1hx2f8,0,1,2,3,0.0,33.333333333333336,66.66666666666667,False
OkXlHx0hx-8,4,2,19,25,16.0,8.0,76.0,True
PjmxCj-a9Hg,5,2,18,25,20.0,8.0,72.0,True
TT4qJ5FXHYE,2,0,2,4,50.0,0.0,50.0,False
UhL9y3KUl8E,1,0,0,1,100.0,0.0,0.0,False
WIUZtitfLRw,3,1,2,6,50.0,16.666666666666668,33.333333333333336,False
X_FAIef8qlE,0,0,1,1,0.0,0.0,100.0,False
b_Hkrkl3adA,1,0,6,7,14.285714285714286,0.0,85.71428571428571,False
is3Mk5oC19g,0,0,7,7,0.0,0.0,100.0,False
j43HgwYFKfk,10,6,34,50,20.0,12.0,68.0,True
lj983NWyAQY,5,0,20,25,20.0,0.0,80.0,True
n8iP75gIpmw,23,16,122,161,14.285714285714286,9.937888198757763,75.77639751552795,True
ndAZjHqzzT8,5,1,6,12,41.666666666666664,8.333333333333334,50.0,True
s0eco-BofOs,0,0,1,1,0.0,0.0,100.0,False
yLZS3JiEBg8,5,1,10,16,31.25,6.25,62.5,True
zweosulrwA8,0,0,1,1,0.0,0.0,100.0,False
