periodo,variable,faltantes,porcentaje
2025T1,P05D01,38169,73.98813677599442
2025T1,P02A03,0,0.0
2025T1,P05C07A,29315,56.82523067380011
2025T1,P05C07B,29315,56.82523067380011
2025T1,P05H01A,29315,56.82523067380011
2025T1,P03A03A,6928,13.429479723966814
2025T1,P05C16,29315,56.82523067380011
2025T1,DOMINIO,0,0.0
2025T1,OCUPADOS,29315,56.82523067380011
2025T1,NUM_HOGAR,0,0.0
2025T1,NUM_PERSONA,0,0.0
2025T1,FACTOR,0,0.0
2025T1,ANIO,0,0.0
2025T1,TRIMESTRE,0,0.0
2025T2,P05D01,37675,73.63144214044208
2025T2,P02A03,0,0.0
2025T2,P05C07A,28824,56.333183497175916
2025T2,P05C07B,28824,56.333183497175916
2025T2,P05H01A,28824,56.333183497175916
2025T2,P03A03A,6678,13.051380772763695
2025T2,P05C16,28824,56.333183497175916
2025T2,DOMINIO,0,0.0
2025T2,OCUPADOS,28824,56.333183497175916
2025T2,NUM_HOGAR,0,0.0
2025T2,NUM_PERSONA,0,0.0
2025T2,FACTOR,0,0.0
2025T2,ANIO,0,0.0
2025T2,TRIMESTRE,0,0.0
2025T3,P05D01,38133,73.92551809704747
2025T3,P02A03,0,0.0
2025T3,P05C07A,29210,56.627183374367526
2025T3,P05C07B,29210,56.627183374367526
2025T3,P05H01A,29210,56.627183374367526
2025T3,P03A03A,6548,12.694104646879786
2025T3,P05C16,29210,56.627183374367526
2025T3,DOMINIO,0,0.0
2025T3,OCUPADOS,29210,56.627183374367526
2025T3,NUM_HOGAR,0,0.0
2025T3,NUM_PERSONA,0,0.0
2025T3,FACTOR,0,0.0
2025T3,ANIO,0,0.0
2025T3,TRIMESTRE,0,0.0
2025T4,P05D01,36674,74.3321577688597
2025T4,P02A03,0,0.0
2025T4,P05C07A,28105,56.96420608861324
2025T4,P05C07B,28105,56.96420608861324
2025T4,P05H01A,28105,56.96420608861324
2025T4,P03A03A,6190,12.546110503060522
2025T4,P05C16,28105,56.96420608861324
2025T4,DOMINIO,0,0.0
2025T4,OCUPADOS,28105,56.96420608861324
2025T4,NUM_HOGAR,0,0.0
2025T4,NUM_PERSONA,0,0.0
2025T4,FACTOR,0,0.0
2025T4,ANIO,0,0.0
2025T4,TRIMESTRE,0,0.0
2026T1,P05D01,36585,73.40047749934796
2026T1,P02A03,0,0.0
2026T1,P05C07A,28109,56.39508055293622
2026T1,P05C07B,28109,56.39508055293622
2026T1,P05H01A,28109,56.39508055293622
2026T1,P03A03A,6011,12.059867985474389
2026T1,P05C16,28109,56.39508055293622
2026T1,DOMINIO,0,0.0
2026T1,OCUPADOS,28109,56.39508055293622
2026T1,NUM_HOGAR,0,0.0
2026T1,NUM_PERSONA,0,0.0
2026T1,FACTOR,0,0.0
2026T1,ANIO,0,0.0
2026T1,TRIMESTRE,0,0.0
