screen_name|created_at|text|retweet_count|favorite_count
realDonaldTrump|Sat Apr 21 19:02:05 +0000 2018|Sylvester Stallone called me with the story of heavyweight boxing champion Jack Johnson. His trials and tribulations were great, his life complex and controversial. Others have looked at this over the years, most thought it would be done, but yes, I am considering a Full Pardon!|20152|97102
realDonaldTrump|Sat Apr 21 18:52:28 +0000 2018|So funny, the Democrats have sued the Republicans for Winning. Now he R?s counter and force them to turn over a treasure trove of material, including Servers and Emails!|22720|93542
realDonaldTrump|Sat Apr 21 15:47:48 +0000 2018|Heading to the Southern White House to watch the Funeral Service of Barbara Bush. First Lady Melania has arrived in Houston to pay our respects. Will be a beautiful day!|11594|76606
realDonaldTrump|Sat Apr 21 15:45:24 +0000 2018|Today, my thoughts and prayers are with the entire Bush family. In memory of First Lady Barbara Bush, there is a remembrance display located at her portrait in the Center Hall of the @WhiteHouse. https://t.co/AuJ3RLZyax|12630|77433
realDonaldTrump|Sat Apr 21 15:44:55 +0000 2018|Fantastic crowd and great people yesterday in Key West, Florida. Thank you! https://t.co/HqOUFgmbQS|13706|66929
realDonaldTrump|Sat Apr 21 13:18:58 +0000 2018|Join me in Washington, Michigan on Saturday, April 28, 2018 at 7:00pm! #MAGA Tickets: https://t.co/DISosdqBuu https://t.co/gHdTgHw5FU|10460|40121
realDonaldTrump|Sat Apr 21 13:10:01 +0000 2018|....it means lying or making up stories. Sorry, I don?t see Michael doing that despite the horrible Witch Hunt and the dishonest media!|11055|52102
realDonaldTrump|Sat Apr 21 13:10:01 +0000 2018|....non-existent ?sources? and a drunk/drugged up loser who hates Michael, a fine person with a wonderful family. Michael is a businessman for his own account/lawyer who I have always liked &amp; respected. Most people will flip if the Government lets them out of trouble, even if....|10524|48392
realDonaldTrump|Sat Apr 21 13:10:00 +0000 2018|The New York Times and a third rate reporter named Maggie Haberman, known as a Crooked H flunkie who I don?t speak to and have nothing to do with, are going out of their way to destroy Michael Cohen and his relationship with me in the hope that he will ?flip.? They use....|14238|58575
realDonaldTrump|Sat Apr 21 03:22:51 +0000 2018|"A message from Kim Jong Un: ?North Korea will stop nuclear tests and launches of intercontinental ballistic missiles.?
Also will ?Shut down a nuclear test site in the country?s Northern Side to prove the vow to suspend nuclear tests.? Progress being made for all!"|30730|138838
realDonaldTrump|Sat Apr 21 03:13:07 +0000 2018|James Comey illegally leaked classified documents to the press in order to generate a Special Council? Therefore, the Special Council was established based on an illegal act? Really, does everybody know what that means?|27716|103446
realDonaldTrump|Fri Apr 20 23:19:51 +0000 2018|Just heard the Campaign was sued by the Obstructionist Democrats. This can be good news in that we will now counter for the DNC Server that they refused to give to the FBI, the Debbie Wasserman Schultz Servers and Documents held by the Pakistani mystery man and Clinton Emails.|30381|108291
realDonaldTrump|Fri Apr 20 22:50:34 +0000 2018|North Korea has agreed to suspend all Nuclear Tests and close up a major test site. This is very good news for North Korea and the World - big progress! Look forward to our Summit.|44867|181216
realDonaldTrump|Fri Apr 20 20:25:13 +0000 2018|Can you believe that despite 93% bad stories from the Fake News Media (should be getting good stories), today we had just about our highest Poll Numbers, including those on Election Day? The American public is wise to the phony an dishonest press. Make America Great Again!|30766|128143
realDonaldTrump|Fri Apr 20 10:57:12 +0000 2018|Looks like OPEC is at it again. With record amounts of Oil all over the place, including the fully loaded ships at sea, Oil prices are artificially Very High! No good and will not be accepted!|23147|96104
realDonaldTrump|Fri Apr 20 10:50:38 +0000 2018|Nancy Pelosi is going absolutely crazy about the big Tax Cuts given to the American People by the Republicans...got not one Democrat Vote! Here?s a choice. They want to end them and raise your taxes substantially. Republicans are working on making them permanent and more cuts!|27917|107499
realDonaldTrump|Fri Apr 20 10:43:17 +0000 2018|So exciting! I have agreed to be the Commencement Speaker at our GREAT Naval Academy on May 25th in Annapolis, Maryland. Looking forward to being there.|19198|113677
realDonaldTrump|Fri Apr 20 10:34:16 +0000 2018|So General Michael Flynn?s life can be totally destroyed while Shadey James Comey can Leak and Lie and make lots of money from a third rate book (that should never have been written). Is that really the way life in America is supposed to work? I don?t think so!|29478|106581
realDonaldTrump|Fri Apr 20 03:37:26 +0000 2018|James Comey Memos just out and show clearly that there was NO COLLUSION and NO OBSTRUCTION. Also, he leaked classified information. WOW! Will the Witch Hunt continue?|24487|99171
realDonaldTrump|Thu Apr 19 22:46:06 +0000 2018|James Comey just threw Andrew McCabe ?under the bus.? Inspector General?s Report on McCabe is a disaster for both of them! Getting a little (lot) of their own medicine?|20887|82792
realDonaldTrump|Thu Apr 19 22:30:36 +0000 2018|Sanctuary Cities released at least 142 Gang Members across the United States, making it easy for them to commit all forms of violent crimes where none would have existed. We are doing a great job of law enforcement, but things such as this make safety in America difficult!|19645|72321
realDonaldTrump|Thu Apr 19 22:30:25 +0000 2018|My thoughts, prayers and condolences are with the families, friends and colleagues of the two @GCSOFlorida deputies (HEROES) who lost their lives in the line of duty today.|13895|64185
realDonaldTrump|Thu Apr 19 20:31:56 +0000 2018|Mike Pompeo is outstanding. First in his class at West Point. A top student at Harvard Law School. A success at whatever he has done. We need the Senate to approve Mike ASAP. He will be a great Secretary of State!|21715|88783
realDonaldTrump|Thu Apr 19 20:27:01 +0000 2018|...Hopefully the Senate will not leave Washington until our Ambassadors, Judges and the people who make Washington work are approved. The Democrats are Obstructing the process and we need these people approved for the good of our Country!|18339|71786
realDonaldTrump|Thu Apr 19 20:21:16 +0000 2018|Democrats are obstructing good (hopefully great) people wanting to give up a big portion of their life to work for our Government, hence, the American People. They are ?slow walking? all of my nominations - hundreds of people. At this rate it would take 9 years for all approvals!|25685|94660
realDonaldTrump|Thu Apr 19 18:40:12 +0000 2018|.@MarshaBlackburn is a wonderful woman who has always been there when we have needed her. Great on the Military, Border Security and Crime. Loves and works hard for the people of Tennessee. She has my full endorsement and I will be there to campaign with her!|14551|58970
realDonaldTrump|Thu Apr 19 18:33:24 +0000 2018|THANK YOU #JIATFSouth, @Norad_Northcom, @southcomwatch and @DHSgov. Keep up the GREAT work! https://t.co/3v2uG6Jp1T|6410|30967
realDonaldTrump|Thu Apr 19 16:23:52 +0000 2018|Just arrived @NASKeyWest! Heading to a briefing with the Joint Interagency Task Force South, NORTHCOM and SOUTHCOM. https://t.co/r906IXnBcG|8826|43733
realDonaldTrump|Thu Apr 19 15:48:38 +0000 2018|Governor Jerry Brown announced he will deploy ?up to 400 National Guard Troops? to do nothing. The crime rate in California is high enough, and the Federal Government will not be paying for Governor Brown?s charade. We need border security and action, not words!|19488|82183
realDonaldTrump|Thu Apr 19 15:23:22 +0000 2018|Thank you San Diego County for defending the rule of law and supporting our lawsuit against California's illegal and unconstitutional 'Sanctuary' policies. California's dangerous policies release violent criminals back into our communities, putting all Americans at risk.|19289|84123
realDonaldTrump|Thu Apr 19 14:45:14 +0000 2018|Great meeting with Prime Minister Abe of Japan, who has just left Florida. Talked in depth about North Korea, Military and Trade. Good things will happen!|13612|69429
realDonaldTrump|Thu Apr 19 02:58:21 +0000 2018|It was my great honor to host my friend @JPN_PMO @AbeShinzo and his delegation at Mar-a-Lago for the past two days. Lots accomplished, thank you! #Success???? https://t.co/2NnItfwfBl|14125|63530
realDonaldTrump|Wed Apr 18 21:32:53 +0000 2018|Great working luncheon with U.S. and Japanese Delegations this afternoon! https://t.co/ywU2CEih8b|12171|63355
realDonaldTrump|Wed Apr 18 21:00:12 +0000 2018|Prime Minister @AbeShinzo of Japan and myself this morning building an even deeper and better relationship while playing a quick round of golf at Trump International Golf Club. https://t.co/YqU7pHiFoU|14666|73804
realDonaldTrump|Wed Apr 18 16:30:39 +0000 2018|Best wishes to Prime Minister @Netanyahu and all of the people of Israel on the 70th Anniversary of your Great Independence. We have no better friends anywhere. Looking forward to moving our Embassy to Jerusalem next month!|22966|99359
realDonaldTrump|Wed Apr 18 12:05:42 +0000 2018|Slippery James Comey, the worst FBI Director in history, was not fired because of the phony Russia investigation where, by the way, there was NO COLLUSION (except by the Dems)!|21768|93742
